ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,volatility,next2_pct,next_pct,period_guess
000407.SZ,20251113,5.04,5.04,5.04,5.04,4.58,0.46,10.0437,81501.49,41076.751,0.0,9.9278,9.9206,早盘
000407.SZ,20251114,5.54,5.54,5.54,5.54,5.04,0.5,9.9206,107885.5,59768.567,0.0,10.0164,9.9278,早盘
000407.SZ,20251117,6.09,6.09,6.09,6.09,5.54,0.55,9.9278,84715.55,51591.77,0.0,9.9352,10.0164,早盘
000407.SZ,20251118,6.7,6.7,6.61,6.7,6.09,0.61,10.0164,2847905.77,1907119.246,1.3432835820895501,9.9174,9.9352,午后
000407.SZ,20251222,4.6,5.09,4.58,5.09,4.63,0.46,9.9352,1225942.84,593891.013,10.019646365422393,9.9437,9.9174,尾盘
000407.SZ,20260122,4.87,5.32,4.86,5.32,4.84,0.48,9.9174,1283445.17,665404.193,8.646616541353383,,9.9437,尾盘
000409.SZ,20250715,11.23,12.34,11.06,12.34,11.22,1.12,9.9822,730933.01,876771.239,10.372771474878439,,10.0168,尾盘
000411.SZ,20251126,11.21,12.36,11.2,12.36,11.24,1.12,9.9644,143279.05,172023.839,9.385113268608416,9.9751,10.0167,尾盘
000411.SZ,20251218,12.18,13.18,11.99,13.18,11.98,1.2,10.0167,210945.67,268385.258,9.0288315629742,,9.9751,尾盘
000417.SZ,20250812,5.81,6.28,5.81,6.28,5.71,0.57,9.9825,980186.75,613269.396,7.484076433121029,9.9369,10.0318,尾盘
000417.SZ,20250813,6.91,6.91,6.5,6.91,6.28,0.63,10.0318,1096536.64,747428.211,5.933429811866862,10.0396,9.9369,尾盘
000417.SZ,20251013,6.43,6.97,6.37,6.97,6.34,0.63,9.9369,620335.99,423695.947,8.608321377331416,10.0358,10.0396,尾盘
000417.SZ,20251219,7.58,8.33,7.4,8.33,7.57,0.76,10.0396,973047.46,780713.573,11.164465786314521,,10.0358,尾盘
000420.SZ,20250514,3.84,4.1,3.8,4.1,3.73,0.37,9.9196,3122384.23,1259877.867,7.317073170731704,10.0437,10.0,尾盘
000420.SZ,20250515,4.24,4.51,4.22,4.51,4.1,0.41,10.0,2690774.23,1187884.195,6.430155210643017,9.9526,10.0437,尾盘
000420.SZ,20250519,4.59,5.04,4.32,5.04,4.58,0.46,10.0437,5403608.76,2560679.935,14.28571428571428,9.9291,9.9526,尾盘
000420.SZ,20250820,4.37,4.64,4.37,4.64,4.22,0.42,9.9526,1309760.44,601519.991,5.818965517241371,10.0877,9.9291,尾盘
000420.SZ,20251229,4.45,4.65,4.43,4.65,4.23,0.42,9.9291,2499354.9,1157348.553,4.731182795698938,,10.0877,尾盘
000421.SZ,20251028,7.11,7.33,7.07,7.33,6.66,0.67,10.0601,326206.03,236959.186,3.5470668485675274,,9.9573,尾盘
000422.SZ,20250507,11.38,12.32,11.2,12.32,11.2,1.12,10.0,1055868.56,1265324.691,9.090909090909099,9.9935,9.9924,尾盘
000422.SZ,20250929,13.17,14.53,13.14,14.53,13.21,1.32,9.9924,631266.0,876180.383,9.566414315209903,,9.9935,尾盘
000426.SZ,20250929,29.44,31.26,29.0,31.26,28.42,2.84,9.993,772158.3,2337944.388,7.229686500319903,10.0164,10.003,尾盘
000426.SZ,20251009,35.0,36.18,34.39,36.18,32.89,3.29,10.003,745380.39,2644882.036,4.947484798231065,10.0,10.0164,尾盘
000426.SZ,20251113,32.22,33.5,31.84,33.5,30.45,3.05,10.0164,1065086.7,3506638.45,4.955223880597015,9.9126,10.0,尾盘
000426.SZ,20260105,36.72,39.16,36.43,39.16,35.6,3.56,10.0,1077976.39,4089780.791,6.9713993871297175,10.0035,9.9126,尾盘
000426.SZ,20260123,55.0,57.9,54.44,57.88,52.66,5.22,9.9126,908484.47,5103990.662,5.977885279889428,10.0,10.0035,尾盘
000426.SZ,20260126,63.0,63.67,62.01,63.67,57.88,5.79,10.0035,791904.91,5017994.676,2.6071933406627985,,10.0,尾盘
000501.SZ,20250808,11.61,11.68,11.61,11.68,10.62,1.06,9.9812,315533.86,368195.015,0.5993150684931532,,10.0,午前
000503.SZ,20260109,9.59,10.55,9.57,10.55,9.59,0.96,10.0104,284377.2,296946.659,9.289099526066353,,10.0474,尾盘
000505.SZ,20250724,6.82,7.5,6.81,7.5,6.82,0.68,9.9707,513742.71,371869.298,9.200000000000005,9.9869,10.0,尾盘
000505.SZ,20251124,8.0,8.91,7.88,8.91,8.1,0.81,10.0,372583.98,320609.65,11.56004489337823,9.9462,9.9869,尾盘
000505.SZ,20251210,7.61,8.37,7.49,8.37,7.61,0.76,9.9869,886905.79,716394.099,10.5137395459976,9.9877,9.9462,尾盘
000505.SZ,20251222,7.51,8.18,7.51,8.18,7.44,0.74,9.9462,845057.27,676116.359,8.190709046454767,,9.9877,尾盘
000506.SZ,20250605,8.0,8.11,7.53,8.11,7.37,0.74,10.0407,1048026.76,834716.417,7.151664611590619,9.9356,9.9877,尾盘
000506.SZ,20250606,7.95,8.92,7.9,8.92,8.11,0.81,9.9877,898465.43,780197.318,11.434977578475332,10.0226,9.9356,尾盘
